alpha,gamma,epsilon,mean_avg_reward_last_100,std_avg_reward_last_100,mean_training_time_sec,experiment_type
0.0,0.9,0.0,-200.0,0.0,22.33624310493469,alpha_vs_epsilon
0.0,0.9,0.3,-372.296,5.148314675697268,23.6657763004303,alpha_vs_epsilon
0.0,0.9,0.5,-488.09,6.545419772634902,24.28852219581604,alpha_vs_epsilon
0.0,0.9,0.7,-605.912,9.125220874039169,24.793716621398925,alpha_vs_epsilon
0.0,0.9,0.9,-721.2520000000001,2.505924180816328,24.608637714385985,alpha_vs_epsilon
0.0,0.9,1.0,-775.9780000000001,10.387772427233834,24.8997953414917,alpha_vs_epsilon
0.3,0.9,0.0,8.012,0.024819347291981184,2.3907474994659426,alpha_vs_epsilon
0.3,0.9,0.3,-13.128,1.2129039533285395,3.324567937850952,alpha_vs_epsilon
0.3,0.9,0.5,-46.422000000000004,2.9691103044514873,4.600040531158447,alpha_vs_epsilon
0.3,0.9,0.7,-127.804,5.504981743838936,7.820915746688843,alpha_vs_epsilon
0.3,0.9,0.9,-522.586,27.14213889876772,19.934782314300538,alpha_vs_epsilon
0.3,0.9,1.0,-772.672,9.879774086485968,24.860216856002808,alpha_vs_epsilon
0.5,0.9,0.0,8.056,0.020591260281974288,2.1887677669525147,alpha_vs_epsilon
0.5,0.9,0.3,-14.076000000000002,0.686457573343029,3.084586000442505,alpha_vs_epsilon
0.5,0.9,0.5,-47.730000000000004,2.742837946361396,4.336466884613037,alpha_vs_epsilon
0.5,0.9,0.7,-128.89600000000002,4.274822101561659,7.4675312519073485,alpha_vs_epsilon
0.5,0.9,0.9,-523.54,27.202816765916,19.848507976531984,alpha_vs_epsilon
0.5,0.9,1.0,-774.952,8.096597804016225,24.89993257522583,alpha_vs_epsilon
0.9,0.9,0.0,7.9879999999999995,0.052687759489277945,2.073064661026001,alpha_vs_epsilon
0.9,0.9,0.3,-13.398,1.0936800263331135,2.979296636581421,alpha_vs_epsilon
0.9,0.9,0.5,-46.675999999999995,2.0834452236619994,4.1861896991729735,alpha_vs_epsilon
0.9,0.9,0.7,-137.192,4.19728674264697,7.311069345474243,alpha_vs_epsilon
0.9,0.9,0.9,-513.006,21.668992223912962,19.765024375915527,alpha_vs_epsilon
0.9,0.9,1.0,-775.074,4.3034850993119536,24.76271014213562,alpha_vs_epsilon
1.0,0.9,0.0,7.996,0.020591260281973788,2.040397024154663,alpha_vs_epsilon
1.0,0.9,0.3,-13.053999999999998,1.1759013564070753,2.855657529830933,alpha_vs_epsilon
1.0,0.9,0.5,-44.154,3.813489740382159,4.064824151992798,alpha_vs_epsilon
1.0,0.9,0.7,-136.006,7.909757518407249,7.1190269947052,alpha_vs_epsilon
1.0,0.9,0.9,-526.9159999999999,19.393349994263506,19.219530534744262,alpha_vs_epsilon
1.0,0.9,1.0,-769.0319999999999,1.7933923162543068,24.19512023925781,alpha_vs_epsilon
0.0,0.0,0.2,-314.606,4.477117822885603,22.202971410751342,alpha_vs_gamma
0.0,0.2,0.2,-314.73199999999997,2.56927538422802,22.94274220466614,alpha_vs_gamma
0.0,0.6,0.2,-314.678,2.417903223869805,23.00606327056885,alpha_vs_gamma
0.0,0.9,0.2,-315.83000000000004,0.7825343442942228,23.03728303909302,alpha_vs_gamma
0.0,1.0,0.2,-316.928,3.4324824835678367,23.279094457626343,alpha_vs_gamma
0.3,0.0,0.2,-314.004,2.2332720389598752,23.057835340499878,alpha_vs_gamma
0.3,0.2,0.2,-4.16,0.7465386795069631,4.1332214832305905,alpha_vs_gamma
0.3,0.6,0.2,-4.588,1.2189077077449304,3.25516095161438,alpha_vs_gamma
0.3,0.9,0.2,-4.473999999999999,1.238944712245062,3.0157405376434325,alpha_vs_gamma
0.3,1.0,0.2,-4.888,0.6343311438042436,2.8989651203155518,alpha_vs_gamma
0.5,0.0,0.2,-314.678,3.7201258043243524,22.859016799926756,alpha_vs_gamma
0.5,0.2,0.2,-4.366,2.2554786631666457,3.1617745876312258,alpha_vs_gamma
0.5,0.6,0.2,-4.224,1.0234959697038382,2.7998031616210937,alpha_vs_gamma
0.5,0.9,0.2,-4.518000000000001,1.1382337194091554,2.74264817237854,alpha_vs_gamma
0.5,1.0,0.2,-4.784000000000001,1.2494094605052422,2.737035894393921,alpha_vs_gamma
0.9,0.0,0.2,-314.066,1.6045260982607996,23.167382955551147,alpha_vs_gamma
0.9,0.2,0.2,-4.946,0.7023560350705331,2.7246570110321047,alpha_vs_gamma
0.9,0.6,0.2,-4.284,0.7580395768032168,2.645471382141113,alpha_vs_gamma
0.9,0.9,0.2,-4.2,0.9808567683408217,2.6134409427642824,alpha_vs_gamma
0.9,1.0,0.2,-4.218,0.8081682993040498,2.649229383468628,alpha_vs_gamma
1.0,0.0,0.2,-315.02,2.4383190931459393,22.828546047210693,alpha_vs_gamma
1.0,0.2,0.2,-4.5600000000000005,1.0036533266023682,2.595335865020752,alpha_vs_gamma
1.0,0.6,0.2,-4.708,0.4743585142062911,2.5580444812774656,alpha_vs_gamma
1.0,0.9,0.2,-4.054,0.6685686202627221,2.547471284866333,alpha_vs_gamma
1.0,1.0,0.2,-4.0280000000000005,0.9340107065767501,2.5556031703948974,alpha_vs_gamma
0.3,0.0,0.0,-200.0,0.0,22.023686170578003,gamma_vs_epsilon
0.3,0.0,0.1,-256.088,1.4415741396126736,22.879895544052125,gamma_vs_epsilon
0.3,0.0,0.3,-371.52,2.626838403861203,23.6851553440094,gamma_vs_epsilon
0.3,0.0,0.5,-495.38599999999997,3.4830710587066642,23.88819737434387,gamma_vs_epsilon
0.3,0.0,0.7,-604.236,6.880937726792781,24.018654775619506,gamma_vs_epsilon
